game_id,pid,player,pos,min,fgm_a,tpm_a,ftm_a,oreb,dreb,reb,ast,stl,blk,tos,pfs,plus_minus,pts
311225006,3963,Rodrigue  Beaubois,PG,8,0-4,0-2,0-0,1,2,3,3,0,0,0,1,+12,0
311225013,1703,Carlos  Boozer,PF,33,7-13,0-0,1-4,1,5,6,2,1,1,2,3,+2,15
311225013,2429,Luol  Deng,SF,38,7-19,1-4,6-6,3,4,7,3,4,1,0,2,+13,21
311225013,3224,Joakim  Noah,C,28,3-12,0-0,0-0,5,4,9,2,3,0,2,5,+4,6
311225013,294,Richard  Hamilton,SG,23,3-8,0-0,0-0,1,1,2,3,2,0,0,5,0,6
311225013,3456,Derrick  Rose,PG,35,9-13,4-6,0-0,0,1,1,5,0,1,5,1,+7,22
311225013,2011,Kyle  Korver,SG,10,0-3,0-2,0-0,0,1,1,0,0,0,0,0,-12,0
311225013,2991,Ronnie  Brewer,SF,25,3-6,0-0,0-1,0,3,3,2,1,0,2,3,+1,6
311225013,3986,Taj  Gibson,PF,15,1-4,0-0,1-2,2,1,3,2,0,1,0,1,-1,3
311225013,3277,C.J.  Watson,PG,13,2-6,2-3,0-0,0,1,1,2,2,0,1,1,-6,6
311225013,3414,Omer  Asik,C,20,1-5,0-0,1-1,4,4,8,0,1,0,2,0,-3,3
311225013,1021,Brian  Scalabrine,PF,,,,,0,0,0,0,0,0,0,0,,0
311225013,2866,John  Lucas III,PG,,,,,0,0,0,0,0,0,0,0,,0
311225013,6430,Jimmy  Butler,SG,,,,,0,0,0,0,0,0,0,0,,0
311225013,3220,Josh  McRoberts,PF,35,3-6,0-0,0-2,3,5,8,2,0,2,2,3,-5,6
311225013,4256,Devin  Ebanks,SF,23,4-5,0-0,0-0,0,1,1,2,0,0,0,1,+6,8
311225013,996,Pau  Gasol,C,38,6-14,0-2,2-6,2,6,8,3,0,3,1,4,+5,14
311225013,110,Kobe  Bryant,SG,35,11-23,0-1,6-7,0,7,7,6,2,0,8,3,-7,28
311225013,246,Derek  Fisher,PG,23,1-5,0-2,0-0,0,3,3,3,2,2,3,3,+6,2
311225013,25,Metta  World Peace,SF,25,2-6,0-1,0-0,0,2,2,3,2,0,0,0,-7,4
311225013,1013,Troy  Murphy,PF,23,3-5,0-1,1-2,5,3,8,1,0,1,1,4,0,7
311225013,1994,Steve  Blake,PG,25,4-9,2-6,2-3,1,2,3,2,0,0,1,2,-9,12
311225013,6435,Andrew  Goudelock,PG,13,2-3,2-3,0-0,1,1,2,0,0,0,1,0,+6,6
311225013,1765,Matt  Barnes,SF,,,,,0,0,0,0,0,0,0,0,,0
311225013,2010,Jason Kapono,SG,,,,,0,0,0,0,0,0,0,0,,0
311225013,2027,Luke  Walton,SF,,,,,0,0,0,0,0,0,0,0,,0
311225013,2748,Andrew  Bynum,C,,,,,0,0,0,0,0,0,0,0,,0
311225025,862,Hedo  Turkoglu,SF,29,3-10,2-5,0-0,2,1,3,4,2,0,2,3,-2,8
311225025,3412,Ryan  Anderson,PF,34,9-17,6-12,1-1,4,6,10,1,2,0,2,4,-7,25
311225025,2384,Dwight  Howard,PF,38,4-12,0-1,3-8,4,11,15,0,1,2,3,4,-4,11
311225025,1018,Jason  Richardson,SG,29,1-10,0-4,0-0,0,3,3,2,0,0,3,2,-8,2
311225025,2439,Jameer  Nelson,PG,31,7-13,0-2,4-4,1,0,1,6,0,0,4,4,+9,18
311225025,703,Quentin  Richardson,SF,5,0-0,0-0,0-0,0,0,0,0,0,0,0,1,+3,0
311225025,2377,Chris  Duhon,PG,17,0-2,0-1,0-0,1,1,2,4,1,0,1,2,-17,0
311225025,3024,J.J.  Redick,SG,23,0-3,0-2,8-8,0,3,3,1,0,0,0,1,-7,8
311225025,2793,Von Wafer,SG,9,2-2,0-0,5-5,0,0,0,0,0,0,0,0,+11,9
311225025,3200,Glen  Davis,PF,19,3-9,0-1,0-0,0,5,5,0,1,1,2,4,-8,6
311225025,3971,Earl  Clark,SF,6,1-3,0-0,0-0,2,1,3,0,0,1,1,0,-10,2
311225025,356,Larry Hughes,SG,,,,,0,0,0,0,0,0,0,0,,0
311225025,6438,Justin  Harper,PF,,,,,0,0,0,0,0,0,0,0,,0
311225025,3202,Kevin  Durant,SF,37,11-19,2-4,6-11,1,4,5,6,2,0,4,1,+2,30
311225025,3439,Serge  Ibaka,PF,23,0-1,0-0,0-0,2,4,6,0,1,2,1,3,-10,0
311225025,2018,Kendrick  Perkins,C,30,2-2,0-0,2-2,1,3,4,1,0,1,1,4,-1,6
311225025,3028,Thabo  Sefolosha,SG,21,3-5,2-2,0-0,0,3,3,0,0,0,0,1,-3,8
311225025,3468,Russell  Westbrook,PG,34,6-17,1-2,1-1,1,6,7,6,3,0,7,5,-5,14
311225025,568,Nazr  Mohammed,C,16,1-4,0-0,0-0,2,5,7,0,0,2,0,2,+12,2
311225025,1978,Nick  Collison,PF,22,2-3,0-0,0-0,0,2,2,1,1,0,2,2,+18,4
311225025,4001,Eric  Maynor,PG,14,3-5,2-3,0-0,0,2,2,3,0,0,1,1,+13,8
311225025,3196,Daequan  Cook,SG,11,2-5,2-4,0-0,0,1,1,1,1,0,0,0,+6,6
311225025,3992,James  Harden,SG,32,4-11,1-4,10-12,0,6,6,3,0,0,0,3,+8,19
311225025,2387,Royal  Ivey,PG,,,,,0,0,0,0,0,0,0,0,,0
311225025,4267,Cole  Aldrich,C,,,,,0,0,0,0,0,0,0,0,,0
311225025,6443,Reggie  Jackson,PG,,,,,0,0,0,0,0,0,0,0,,0
311225009,1705,Caron  Butler,SF,36,4-10,1-3,2-3,0,10,10,4,3,0,0,0,+17,11
311225009,3989,Blake  Griffin,PF,35,9-18,0-0,4-8,5,2,7,1,2,0,3,4,+17,22
311225009,3442,DeAndre  Jordan,C,31,1-2,0-0,4-12,3,2,5,0,0,8,2,2,+15,6
311225009,63,Chauncey  Billups,SG,38,6-19,3-10,6-6,0,5,5,4,0,0,1,2,+18,21
311225009,2779,Chris  Paul,PG,37,7-12,1-3,5-6,1,1,2,9,2,0,2,4,+19,20
311225009,2757,Ryan  Gomes,SF,14,3-4,0-1,0-1,1,3,4,0,0,0,0,1,+12,6
311225009,1998,Brian  Cook,PF,16,2-7,2-4,2-2,2,4,6,0,0,0,0,5,-6,8
311225009,2178,Mo  Williams,PG,22,4-8,0-1,0-0,0,3,3,3,2,0,1,1,+1,8
311225009,3003,Randy  Foye,SG,11,1-1,1-1,0-0,1,0,1,1,0,0,1,0,+2,3
311225009,1828,Reggie  Evans,PF,,,,,0,0,0,0,0,0,0,0,,0
311225009,6451,Travis  Leslie,PG,,,,,0,0,0,0,0,0,0,0,,0
311225009,6473,Trey  Thompkins,PF,,,,,0,0,0,0,0,0,0,0,,0
311225009,4238,Eric  Bledsoe,PG,,,,,0,0,0,0,0,0,0,0,,0
311225009,2772,David  Lee,PF,35,10-19,0-0,1-2,4,8,12,2,0,1,4,6,-18,21
311225009,2423,Dorell  Wright,SF,31,1-6,1-6,5-5,4,5,9,1,0,0,0,1,-2,8
311225009,2427,Andris  Biedrins,C,20,5-5,0-0,0-0,2,6,8,0,0,3,0,4,-1,10
311225009,2751,Monta  Ellis,SG,43,6-19,0-5,3-6,2,2,4,8,1,0,4,4,-22,15
311225009,3975,Stephen  Curry,PG,33,2-12,0-4,0-1,2,3,5,4,2,2,5,4,-5,4
311225009,981,Kwame  Brown,C,7,0-1,0-0,1-2,1,0,1,0,0,0,0,3,-7,1
311225009,3246,Dominic  McGuire,PF,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-5,0
311225009,3457,Brandon  Rush,SG,28,3-6,2-2,4-4,0,3,3,0,1,2,1,4,-21,12
311225009,6444,Charles  Jenkins,PG,1,0-0,0-0,0-0,0,0,0,1,0,0,0,0,-2,0
311225009,4305,Ish  Smith,PG,5,3-4,1-1,0-0,0,0,0,0,0,0,0,2,0,7
311225009,4261,Ekpe  Udoh,PF,13,0-2,0-0,1-2,1,2,3,0,0,0,0,1,-2,1
311225009,6475,Klay  Thompson,SG,19,2-8,1-3,2-2,1,2,3,1,0,0,2,3,-10,7
311225009,6476,Jeremy  Tyler,PF,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
311226005,1767,Rasual  Butler,SG,12,1-4,1-4,0-0,0,1,1,2,0,0,0,3,+2,3
311226005,2987,Andrea  Bargnani,PF,30,5-12,1-4,2-2,0,6,6,2,0,0,0,2,+9,13
311226005,2769,Amir  Johnson,PF,33,5-7,0-0,3-4,4,9,13,3,1,3,3,4,+8,13
311226005,2806,Jose  Calderon,PG,30,5-9,3-5,2-2,2,4,6,11,0,0,1,2,+12,15
311226005,3978,DeMar  DeRozan,SG,26,7-13,0-1,1-2,0,2,2,2,1,0,0,0,+14,15
311226005,498,Jamaal  Magloire,C,15,1-1,0-0,0-0,1,2,3,1,0,1,1,2,0,2
311226005,2166,Leandro  Barbosa,SG,22,5-14,1-3,3-3,0,0,0,4,0,0,2,4,-6,14
311226005,3999,James  Johnson,PF,36,2-4,1-1,0-0,0,6,6,5,2,3,4,1,+6,5
311226005,3417,Jerryd  Bayless,PG,18,4-8,2-3,0-0,0,1,1,3,0,0,1,1,-4,10
311226005,4259,Ed  Davis,PF,18,7-7,0-0,0-0,4,3,7,2,0,2,0,3,-1,14
311226005,137,Anthony  Carter,PG,,,,,0,0,0,0,0,0,0,0,,0
311226005,4312,Gary  Forbes,F,,,,,0,0,0,0,0,0,0,0,,0
311226005,4268,Solomon  Alabi,C,,,,,0,0,0,0,0,0,0,0,,0
311226005,385,Antawn  Jamison,PF,31,6-20,0-4,3-6,3,4,7,2,0,0,0,1,-11,15
311226005,3554,Omri  Casspi,SF,21,0-4,0-3,2-2,0,1,1,2,1,0,1,2,-9,2
311226005,2419,Anderson  Varejao,C,33,6-12,0-0,2-3,7,3,10,1,1,0,1,3,-11,14
311226005,635,Anthony  Parker,SG,26,3-3,2-2,0-0,0,2,2,0,0,0,0,2,-6,8
311226005,6442,Kyrie  Irving,PG,26,2-12,1-5,1-1,0,3,3,7,1,0,1,2,-10,6
311226005,3008,Ryan  Hollins,C,15,0-3,0-0,0-0,0,1,1,0,0,1,1,0,+3,0
